	font_file	suffix	family_name	style_name	postscript_name	num_faces	num_glyphs	has_multiple_masters	variation_axes_count	variable_font_weight	min_font_weight	max_font_weight	charmap_encoding_name	has_horizontal	has_vertical	has_kerning	has_fixed_sizes	num_fixed_sizes	is_fixed_width	is_scalable	has_glyph_names	units_per_EM	face_format	is_sfnt	sfnt_name_count	is_tricky
96	NotoSansKhmerUI-SemiCondensedBlack.ttf	ttf	Noto Sans Khmer UI	SemiCondensed Black	NotoSansKhmerUI-SemiCondensedBlack	1	387	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
97	NotoSansLao-Black.ttf	ttf	Noto Sans Lao	Black	NotoSansLao-Black	1	116	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
98	NotoSansLao-Condensed.ttf	ttf	Noto Sans Lao	Condensed	NotoSansLao-Condensed	1	116	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
99	NotoSansLao-CondensedBlack.ttf	ttf	Noto Sans Lao	Condensed Black	NotoSansLao-CondensedBlack	1	116	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
100	NotoSansLao-Regular.ttf	ttf	Noto Sans Lao	Regular	NotoSansLao-Regular	1	116	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
101	NotoSansLao-SemiCondensed.ttf	ttf	Noto Sans Lao	SemiCondensed	NotoSansLao-SemiCondensed	1	116	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
102	NotoSansLao-SemiCondensedBlack.ttf	ttf	Noto Sans Lao	SemiCondensed Black	NotoSansLao-SemiCondensedBlack	1	116	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
103	NotoSansLaoUI-Black.ttf	ttf	Noto Sans Lao UI	Black	NotoSansLaoUI-Black	1	118	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
104	NotoSansLaoUI-Condensed.ttf	ttf	Noto Sans Lao UI	Condensed	NotoSansLaoUI-Condensed	1	118	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
105	NotoSansLaoUI-CondensedBlack.ttf	ttf	Noto Sans Lao UI	Condensed Black	NotoSansLaoUI-CondensedBlack	1	118	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
106	NotoSansLaoUI-Regular.ttf	ttf	Noto Sans Lao UI	Regular	NotoSansLaoUI-Regular	1	118	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
107	NotoSansLaoUI-SemiCondensed.ttf	ttf	Noto Sans Lao UI	SemiCondensed	NotoSansLaoUI-SemiCondensed	1	118	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
108	NotoSansLaoUI-SemiCondensedBlack.ttf	ttf	Noto Sans Lao UI	SemiCondensed Black	NotoSansLaoUI-SemiCondensedBlack	1	118	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
109	NotoSansMalayalam-Regular.ttf	ttf	Noto Sans Malayalam	Regular	NotoSansMalayalam	1	318	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	False	2048	TrueType	True	15	False
110	NotoSansMalayalamUI-Regular.ttf	ttf	Noto Sans Malayalam UI	Regular	NotoSansMalayalamUI	1	318	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	False	2048	TrueType	True	15	False
111	NotoSansMongolian-Regular.ttf	ttf	Noto Sans Mongolian	Regular	NotoSansMongolian	1	1511	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	2048	TrueType	True	15	False
112	NotoSansMono-Black.ttf	ttf	Noto Sans Mono	Black	NotoSansMono-Black	1	3376	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
113	NotoSansMono-Condensed.ttf	ttf	Noto Sans Mono	Condensed	NotoSansMono-Condensed	1	3376	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
114	NotoSansMono-CondensedBlack.ttf	ttf	Noto Sans Mono	Condensed Black	NotoSansMono-CondensedBlack	1	3376	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
115	NotoSansMono-Regular.ttf	ttf	Noto Sans Mono	Regular	NotoSansMono-Regular	1	3376	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
116	NotoSansMono-SemiCondensed.ttf	ttf	Noto Sans Mono	SemiCondensed	NotoSansMono-SemiCondensed	1	3376	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
117	NotoSansMono-SemiCondensedBlack.ttf	ttf	Noto Sans Mono	SemiCondensed Black	NotoSansMono-SemiCondensedBlack	1	3376	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
118	NotoSansMonoCJKjp-Regular.otf	otf	Noto Sans Mono CJK JP	Regular	NotoSansMonoCJKjp-Regular	1	65535	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	True	False	False	0	False	True	False	1000	CFF	True	32	False
119	NotoSansMonoCJKkr-Regular.otf	otf	Noto Sans Mono CJK KR	Regular	NotoSansMonoCJKkr-Regular	1	65535	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	True	False	False	0	False	True	False	1000	CFF	True	32	False
120	NotoSansMonoCJKsc-Regular.otf	otf	Noto Sans Mono CJK SC	Regular	NotoSansMonoCJKsc-Regular	1	65535	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	True	False	False	0	False	True	False	1000	CFF	True	32	False
121	NotoSansMonoCJKtc-Regular.otf	otf	Noto Sans Mono CJK TC	Regular	NotoSansMonoCJKtc-Regular	1	65535	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	True	False	False	0	False	True	False	1000	CFF	True	32	False
122	NotoSansMyanmar-Black.ttf	ttf	Noto Sans Myanmar	Black	NotoSansMyanmar-Black	1	614	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
123	NotoSansMyanmar-Condensed.ttf	ttf	Noto Sans Myanmar	Condensed	NotoSansMyanmar-Condensed	1	614	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
124	NotoSansMyanmar-CondensedBlack.ttf	ttf	Noto Sans Myanmar	Condensed Black	NotoSansMyanmar-CondensedBlack	1	614	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
125	NotoSansMyanmar-Regular.ttf	ttf	Noto Sans Myanmar	Regular	NotoSansMyanmar-Regular	1	614	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
126	NotoSansMyanmar-SemiCondensed.ttf	ttf	Noto Sans Myanmar	SemiCondensed	NotoSansMyanmar-SemiCondensed	1	614	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
127	NotoSansMyanmar-SemiCondensedBlack.ttf	ttf	Noto Sans Myanmar	SemiCondensed Black	NotoSansMyanmar-SemiCondensedBlack	1	614	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
128	NotoSansMyanmarUI-Black.ttf	ttf	Noto Sans Myanmar UI	Black	NotoSansMyanmarUI-Black	1	615	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
129	NotoSansMyanmarUI-Condensed.ttf	ttf	Noto Sans Myanmar UI	Condensed	NotoSansMyanmarUI-Condensed	1	615	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
130	NotoSansMyanmarUI-CondensedBlack.ttf	ttf	Noto Sans Myanmar UI	Condensed Black	NotoSansMyanmarUI-CondensedBlack	1	615	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
131	NotoSansMyanmarUI-Regular.ttf	ttf	Noto Sans Myanmar UI	Regular	NotoSansMyanmarUI-Regular	1	615	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
132	NotoSansMyanmarUI-SemiCondensed.ttf	ttf	Noto Sans Myanmar UI	SemiCondensed	NotoSansMyanmarUI-SemiCondensed	1	615	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
133	NotoSansMyanmarUI-SemiCondensedBlack.ttf	ttf	Noto Sans Myanmar UI	SemiCondensed Black	NotoSansMyanmarUI-SemiCondensedBlack	1	615	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
134	NotoSansNKo-Regular.ttf	ttf	Noto Sans NKo	Regular	NotoSansNKo-Regular	1	176	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	16	False
135	NotoSansOriya-Regular.ttf	ttf	Noto Sans Oriya	Regular	NotoSansOriya	1	671	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	2048	TrueType	True	15	False
136	NotoSansOriyaUI-Regular.ttf	ttf	Noto Sans Oriya UI	Regular	NotoSansOriyaUI	1	624	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	2048	TrueType	True	15	False
137	NotoSansSinhala-Black.ttf	ttf	Noto Sans Sinhala	Black	NotoSansSinhala-Black	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
138	NotoSansSinhala-Condensed.ttf	ttf	Noto Sans Sinhala	Condensed	NotoSansSinhala-Condensed	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
139	NotoSansSinhala-CondensedBlack.ttf	ttf	Noto Sans Sinhala	Condensed Black	NotoSansSinhala-CondensedBlack	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
140	NotoSansSinhala-Regular.ttf	ttf	Noto Sans Sinhala	Regular	NotoSansSinhala-Regular	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	15	False
141	NotoSansSinhala-SemiCondensed.ttf	ttf	Noto Sans Sinhala	SemiCondensed	NotoSansSinhala-SemiCondensed	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
142	NotoSansSinhala-SemiCondensedBlack.ttf	ttf	Noto Sans Sinhala	SemiCondensed Black	NotoSansSinhala-SemiCondensedBlack	1	645	False	0	False	N/A	N/A	FT_ENCODING_UNICODE	True	False	False	False	0	False	True	True	1000	TrueType	True	17	False
